,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,petropavlovsk-kamchatskiy,40,RU,1570147316,57,53.05,158.65,48.2,11.18
386,comodoro rivadavia,56,BR,1570147317,52,-13.66,-59.79,80.14,2.8
387,aubenas,0,FR,1570147317,58,44.62,4.39,55.4,14.99
388,esil,53,KZ,1570147317,40,51.96,66.41,45.72,8.66
389,nhulunbuy,20,AU,1570147241,61,-12.18,136.78,82.4,10.29
390,spoleto,14,IT,1570147318,87,42.74,12.74,55.99,5.82
391,yabassi,75,CM,1570147318,100,4.46,9.97,77.0,2.24
392,lakki marwat,20,GR,1570147318,60,35.4,23.94,75.2,9.17
393,port lincoln,52,CD,1570147318,66,-7.04,29.76,68.64,4.18
394,northampton,40,AU,1570147318,59,-28.35,114.63,64.4,21.92
395,rayong,20,TH,1570147319,83,12.68,101.28,84.99,4.7
396,hengyang,0,CN,1570147319,48,26.89,112.6,81.08,2.98
397,carutapera,11,BR,1570147319,77,-1.2,-46.02,79.08,8.99
398,sivas,2,TR,1570147319,53,39.75,37.01,50.0,4.03
399,buldana,88,IN,1570147319,87,20.53,76.18,71.36,4.0
400,turka,59,RU,1570147320,60,52.95,108.22,44.54,10.49
401,butwal,0,NP,1570147320,84,27.7,83.45,73.8,1.24
402,kudirkos naumiestis,0,LT,1570147320,93,54.75,23.98,42.8,6.93
403,ola,51,RU,1570147320,74,59.58,151.3,33.36,11.86
404,severo-kurilsk,100,RU,1570147321,80,50.68,156.12,41.76,15.84
405,ust-nera,70,RU,1570147321,66,64.57,143.24,11.31,3.62
406,lingyuan,100,CN,1570147321,83,41.24,119.4,38.72,16.75
407,lima,90,PE,1570147066,88,-12.06,-77.04,62.6,18.34
408,bell ville,0,AU,1570147322,49,-26.93,151.45,79.0,5.82
409,lagoa,0,PT,1570147322,73,37.14,-8.45,69.8,9.17
410,leticia,20,CO,1570147322,79,-4.21,-69.94,84.2,3.36
411,yining,0,CN,1570147145,60,29.04,114.56,76.34,0.38
412,howard springs,90,US,1570147322,70,44.01,-97.53,48.2,5.82
413,otwock,75,PL,1570147214,93,52.11,21.27,46.0,4.7
414,sonoita,90,US,1570147323,28,31.68,-110.66,91.4,12.75
415,tromso,75,NO,1570147323,74,69.65,18.96,37.4,1.12
416,coquimbo,0,CL,1570147323,71,-29.95,-71.34,55.4,12.75
417,svetlogorsk,20,RU,1570147323,70,53.14,59.15,48.2,4.47
418,rosario oeste,95,UY,1570147237,82,-34.31,-57.35,54.0,13.0
419,nanguneri,92,IN,1570147324,90,8.49,77.66,71.37,3.33
420,leh,51,IN,1570147227,54,34.16,77.58,29.06,4.79
421,ranot,5,TH,1570147324,81,7.78,100.32,77.24,3.85
422,cidreira,100,BR,1570147174,90,-30.17,-50.22,63.96,15.52
423,lake havasu city,88,CN,1570147324,95,28.33,102.35,53.45,0.87
424,sechura,96,PE,1570147325,85,-5.56,-80.82,64.31,15.05
425,vardo,1,US,1570147325,78,39.62,-77.74,75.99,5.57
426,port arthur,52,CD,1570147234,66,-7.04,29.76,68.64,4.18
427,gat,20,SN,1570147325,83,14.69,-16.54,82.4,4.7
428,meadow lake,75,GB,1570147325,87,54.18,-6.35,54.0,10.29
429,gidam,18,IN,1570147325,96,18.98,81.4,69.01,1.56
430,petatlan,75,MX,1570147326,66,17.52,-101.27,87.8,5.82
431,mehamn,90,NO,1570147326,97,71.03,27.85,33.46,12.98
432,yarada,75,IN,1570147326,94,17.65,83.27,77.0,2.24
433,tulsipur,4,IN,1570147327,81,27.53,82.41,71.99,2.35
434,havre-saint-pierre,90,CA,1570147327,56,50.23,-63.6,42.8,4.7
435,hoquiam,90,US,1570147327,93,46.98,-123.89,55.0,4.7
436,cayenne,0,GF,1570147328,78,4.94,-52.33,80.6,4.7
437,dukat,99,AL,1570147328,84,40.25,19.57,68.18,18.6
438,parral,75,CL,1570147328,76,-36.14,-71.82,51.8,5.82
439,tema,75,GH,1570147328,94,5.66,-0.01,77.0,8.05
440,mersing,83,MY,1570147328,85,2.43,103.84,75.64,2.04
441,grandview,1,US,1570147329,76,38.89,-94.53,57.2,6.93
442,ust-karsk,31,RU,1570147329,50,52.71,118.82,32.75,8.32
443,murray bridge,1,US,1570147329,48,40.67,-111.89,66.99,17.22
444,toora-khem,45,RU,1570147329,73,52.47,96.11,22.56,1.92
445,fukue,20,JP,1570147155,73,35.03,136.69,77.0,17.22
446,jashpurnagar,94,IN,1570147330,96,22.88,84.14,65.51,2.71
447,raigarh,54,IN,1570147330,89,21.9,83.39,71.96,1.35
448,berlevag,95,NO,1570147330,77,70.86,29.09,39.73,15.59
449,kibala,20,TD,1570147330,94,9.11,18.35,77.0,2.84
450,paramonga,74,PE,1570147331,93,-10.68,-77.82,60.36,14.18
451,coahuayana,26,MX,1570147331,86,18.62,-100.35,77.3,2.13
452,takhtamygda,7,RU,1570147331,56,54.1,123.57,29.72,3.76
453,acapulco,75,MX,1570147331,70,16.86,-99.88,86.0,2.24
454,ostrovnoy,98,RU,1570147332,83,68.05,39.51,33.45,11.23
455,batagay,100,RU,1570147332,53,67.65,134.64,22.95,5.29
456,basoko,100,CD,1570147332,99,1.23,23.61,67.65,2.46
457,porirua,0,NZ,1570147332,66,-41.14,174.84,57.0,23.04
458,goure,40,NE,1570147332,58,13.98,10.27,84.99,4.0
459,soldotna,1,US,1570147333,62,60.48,-151.07,53.6,3.02
460,salmo,100,CA,1570147333,60,49.19,-117.28,54.0,1.01
461,vuktyl,73,RU,1570147333,90,63.86,57.31,31.31,8.84
462,suoyarvi,100,RU,1570147333,83,62.08,32.35,32.64,14.09
463,kurumkan,89,RU,1570147333,86,54.33,110.32,24.65,2.86
464,hobyo,57,SO,1570147334,92,5.35,48.53,76.31,6.44
465,hirara,40,JP,1570147334,83,24.8,125.28,80.6,5.82
466,port blair,65,CD,1570147334,62,-7.04,29.76,80.89,14.37
467,loukhi,0,RU,1570147335,91,66.08,33.04,29.03,5.12
468,nouadhibou,26,MR,1570147335,39,20.93,-17.03,84.2,18.34
469,ternate,40,PH,1570147137,78,14.29,120.72,84.0,2.24
470,mandalgovi,0,MN,1570147335,67,45.76,106.27,28.28,1.36
471,fairbanks,90,US,1570147312,100,64.84,-147.72,39.99,3.36
472,provideniya,90,RU,1570147164,87,64.42,-173.23,44.6,22.37
473,ambilobe,100,MG,1570147336,77,-13.19,49.05,74.33,6.96
474,bani walid,33,YE,1570147336,64,16.02,42.93,87.41,2.21
475,penzance,76,GB,1570147336,82,50.12,-5.53,59.0,17.22
476,magole,20,TZ,1570147337,69,-6.37,37.37,73.4,4.16
477,aranos,0,NA,1570147337,9,-24.14,19.11,58.47,5.84
478,richards bay,75,US,1570147337,86,46.84,-95.91,44.6,6.93
479,kaniama,96,CD,1570147337,91,-7.57,24.18,68.71,3.6
480,fort-shevchenko,0,KZ,1570147337,56,44.51,50.26,65.35,21.12
481,cabra,37,ES,1570147338,68,37.47,-4.43,68.0,3.36
482,palafrugell,0,ES,1570147338,93,41.92,3.16,59.0,2.08
483,kaeo,34,NZ,1570147338,81,-35.1,173.78,64.99,4.0
484,benguela,53,AO,1570147338,86,-12.58,13.4,70.44,10.09
485,mogadishu,8,SO,1570147338,87,2.04,45.34,77.26,8.81
486,anori,73,BR,1570147339,58,-3.74,-61.66,83.09,3.02
487,saint-leu,20,RE,1570147339,83,-21.15,55.28,73.4,12.75
488,ghanzi,7,BW,1570147339,27,-21.7,21.65,67.91,11.05
489,nacala,18,MZ,1570147339,89,-14.56,40.69,71.81,7.76
490,gorin,13,BF,1570147339,78,12.34,-0.67,76.74,18.37
491,komsomolskiy,100,RU,1570147340,96,67.55,63.78,32.02,21.7
492,taltal,0,CL,1570147340,85,-25.41,-70.49,51.27,3.53
493,mongoumba,100,CD,1570147340,98,3.64,18.59,70.04,2.75
494,iguape,32,BR,1570147340,94,-24.7,-47.56,65.4,3.4
495,alexandria,100,RO,1570147146,88,43.97,25.33,55.99,13.91
496,itaituba,64,BR,1570147341,68,-4.26,-55.99,79.9,2.73
497,valparaiso,90,US,1570147338,93,41.47,-87.06,63.0,8.05
498,inhambane,0,MZ,1570147341,77,-23.87,35.38,69.96,8.03
499,ardmore,1,US,1570147127,48,34.99,-86.85,93.2,4.07
500,sept-iles,75,CA,1570147279,56,50.2,-66.38,41.0,3.36
501,san juan de uraba,39,ML,1570147258,61,13.3,-4.9,82.68,0.43
502,banda aceh,0,IN,1570147342,79,28.24,80.11,73.22,2.67
503,kearney,1,US,1570147286,55,40.7,-99.08,62.6,5.82
504,bonavista,47,CA,1570147342,75,48.65,-53.11,41.0,11.99
505,linqiong,75,CN,1570147342,88,30.42,103.46,69.8,2.24
506,labuhan,82,ID,1570147343,68,-2.54,115.51,78.61,0.47
507,bathsheba,40,BB,1570147343,83,13.22,-59.52,82.4,6.93
508,san ramon,39,ML,1570147343,61,13.3,-4.9,82.68,0.43
509,bandarbeyla,12,SO,1570147343,82,9.49,50.81,75.95,5.28
510,viedma,100,AR,1570147344,63,-40.81,-62.99,52.0,7.0
511,orange,1,US,1570147344,29,33.79,-117.85,82.4,13.87
512,taguatinga,0,BR,1570147344,30,-15.83,-48.06,84.2,5.82
513,nanpiao,94,CN,1570147344,71,41.1,120.75,43.76,20.94
514,touros,75,BR,1570147344,78,-5.2,-35.46,78.8,9.17
515,porto real do colegio,75,PT,1570147142,93,41.15,-8.61,64.4,5.82
516,hamilton,90,CA,1570147345,100,43.26,-79.87,55.0,5.82
517,banjar,64,ID,1570147345,79,-7.37,108.54,75.37,3.0
518,roma,0,IT,1570147157,71,41.89,12.48,60.8,6.93
519,alofi,75,NU,1570147346,83,-19.06,-169.92,77.0,14.99
